Index.1,province,year,overall overall,overall man,overall woman,0-4 overall,0-4 man,0-4 woman,5-9 overall,5-9 man,5-9 woman,10-14 overall,10-14 man,10-14 woman,15-19 overall,15-19 man,15-19 woman,20-24 overall,20-24 man,20-24 woman,25-29 overall,25-29 man,25-29 woman,30-34 overall,30-34 man,30-34 woman,35-39 overall,35-39 man,35-39 woman,40-44 overall,40-44 man,40-44 woman,45-49 overall,45-49 man,45-49 woman,50-54 overall,50-54 man,50-54 woman,55-59 overall,55-59 man,55-59 woman,60-64 overall,60-64 man,60-64 woman,65-69 overall,65-69 man,65-69 woman,70 and older overall,70 and older man,70 and older woman,70-74 overall,70-74 man,70-74 woman,75-79 overall,75-79 man,75-79 woman,80-84 overall,80-84 man,80-84 woman,85 and older overall,85 and older man,85 and older woman,pre-working age,working age,post-working age
1,MAŁOPOLSKIE,2002,3237217,1571472,1665745,172575,88255,84320,200830,102571,98259,240621,123479,117142,273575,139703,133872,281598,142468,139130,252762,127625,125137,219875,111441,108434,211492,107751,103741,230175,115547,114628,238575,118213,120362,212491,102646,109845,154902,72727,82175,132313,59933,72380,135694,58903,76791,279739,100210,179529,121692,49261,72431,85131,30062,55069,44689,13800,30889,28227,7087,21140,887601,1861803,487813
2,ŚLĄSKIE,2002,4731533,2289801,2441732,207056,106197,100859,247318,126566,120752,314399,161099,153300,388284,197842,190442,393629,198026,195603,360031,181973,178058,310733,156851,153882,314766,158279,156487,372358,185121,187237,402663,197699,204964,363102,175535,187567,245357,116403,128954,235026,109307,125719,202441,89670,112771,374370,129233,245137,168239,68114,100125,110978,36144,74834,57856,16081,41775,37297,8894,28403,1157057,2871946,702530
3,LUBUSKIE,2002,1008196,489699,518497,49910,25667,24243,60193,30695,29498,73863,37665,36198,90972,46166,44806,87401,44375,43026,78786,40257,38529,63995,32505,31490,61722,31134,30588,76779,38221,38558,87886,43438,44448,79388,38871,40517,46453,22300,24153,36989,16297,20692,37608,15557,22051,76251,26551,49700,33731,13160,20571,24107,7749,16358,12028,3894,8134,6385,1748,4637,274938,598707,134551
4,WIELKOPOLSKIE,2002,3355279,1628201,1727078,174072,89708,84364,203272,104285,98987,248698,126958,121740,292199,149076,143123,293673,149327,144346,268672,135937,132735,225507,114025,111482,210583,105546,105037,242312,120388,121924,267951,131398,136553,247784,119670,128114,165277,77838,87439,126919,57469,69450,124138,53240,70898,264222,93336,170886,109555,43900,65655,80395,27792,52603,44693,14062,30631,29579,7582,21997,918241,1979228,457810
5,ZACHODNIOPOMORSKIE,2002,1697718,826954,870764,82257,42312,39945,99550,50842,48708,118965,60812,58153,145119,74367,70752,146068,74600,71468,132138,67024,65114,107986,54801,53185,103819,52588,51231,129634,64681,64953,150982,74370,76612,138909,68090,70819,81049,39491,41558,64661,29254,35407,66438,27735,38703,130143,45987,84156,59068,23169,35899,41869,13843,28026,19226,6249,12977,9980,2726,7254,445891,1019839,231988
6,DOLNOŚLĄSKIE,2002,2904694,1395962,1508732,128430,65827,62603,155286,79411,75875,190008,97219,92789,239846,122363,117483,253462,128388,125074,227224,115491,111733,181869,92435,89434,173518,87361,86157,219716,108748,110968,258326,126782,131544,242402,117008,125394,140504,66393,74111,116356,50657,65699,122017,50062,71955,255730,87817,167913,112420,42477,69943,84419,27385,57034,39398,12669,26729,19493,5286,14207,713570,1747678,443446
7,OPOLSKIE,2002,1061009,514839,546170,47325,24399,22926,58383,29648,28735,75553,38844,36709,91740,46821,44919,86065,42753,43312,79890,40233,39657,72742,36408,36334,75571,38654,36917,83883,42822,41061,83710,41892,41818,75904,36982,38922,47418,22738,24680,49939,22787,27152,48481,21107,27374,84405,28751,55654,39116,15755,23361,25184,7655,17529,12665,3602,9063,7440,1739,5701,273001,627970,160038
8,KUJAWSKO-POMORSKIE,2002,2069166,999589,1069577,104835,53906,50929,126161,64279,61882,150955,77045,73910,179295,91790,87505,174152,88006,86146,159643,80813,78830,135819,68159,67660,130203,64755,65448,153650,76142,77508,169839,83331,86508,154941,74071,80870,100412,46970,53442,83554,37617,45937,80076,34544,45532,165631,58161,107470,71128,28553,42575,49943,17023,32920,26624,8116,18508,17936,4469,13467,561246,1216276,291644
9,POMORSKIE,2002,2183636,1063423,1120213,116140,59279,56861,132988,68322,64666,161018,82646,78372,188537,96022,92515,185574,93776,91798,175073,88128,86945,146599,74513,72086,138694,69877,68817,159278,79514,79764,178509,87329,91180,164891,80144,84747,101623,48552,53071,87539,40234,47305,84217,36959,47258,162956,58128,104828,71329,29478,41851,49366,16552,32814,25506,7775,17731,16755,4323,12432,598683,1290475,294478
10,WARMIŃSKO-MAZURSKIE,2002,1428449,698199,730250,75662,38902,36760,91494,46650,44844,113171,57956,55215,133457,68290,65167,120874,61863,59011,107076,54862,52214,91584,46450,45134,93412,47262,46150,111664,56118,55546,117565,58344,59221,101918,50058,51860,59513,28383,31130,53486,23963,29523,53283,22454,30829,104290,36644,67646,47325,18435,28890,32277,10765,21512,15670,4917,10753,9018,2527,6491,413784,827569,187096
11,ŁÓDZKIE,2002,2607380,1243836,1363544,114446,58765,55681,138838,71148,67690,168008,85944,82064,200998,102858,98140,206888,105236,101652,194103,98686,95417,166209,84369,81840,157433,78891,78542,190710,94459,96251,222085,108679,113406,205952,98107,107845,146720,67701,79019,112794,49608,63186,115376,47929,67447,266820,91456,175364,110218,41780,68438,84464,28393,56071,44546,14060,30486,27592,7223,20369,622290,1539708,445382
12,ŚWIĘTOKRZYSKIE,2002,1295885,632911,662974,61494,31701,29793,75934,38580,37354,93629,47748,45881,110435,56452,53983,101874,52874,49000,93556,48682,44874,80284,41271,39013,78186,40118,38068,94681,48020,46661,104935,53183,51752,95019,46883,48136,64685,30925,33760,54286,24512,29774,57170,24639,32531,129717,47323,82394,54117,21913,32204,40133,14448,25685,21766,7116,14650,13701,3846,9855,341492,737732,216661
13,LUBELSKIE,2002,2196992,1067490,1129502,110766,56855,53911,133890,68335,65555,165808,84926,80882,194330,99693,94637,178503,91816,86687,159307,82233,77074,138822,71195,67627,136334,69377,66957,153770,77791,75979,170008,84594,85414,151358,73232,78126,106228,49257,56971,91632,41184,50448,91549,39714,51835,214687,77288,137399,89926,36133,53793,67041,23629,43412,35903,11469,24434,21817,6057,15760,604794,1235514,356684
14,PODKARPACKIE,2002,2105050,1030048,1075002,114714,58867,55847,138476,70911,67565,173122,88343,84779,193046,98608,94438,172736,88512,84224,160010,81506,78504,140276,71560,68716,137923,70323,67600,151448,77089,74359,152991,76523,76468,134556,65857,68699,92417,43717,48700,82424,37490,44934,84792,36859,47933,176119,63883,112236,76090,30964,45126,54650,19582,35068,28466,8894,19572,16913,4443,12470,619358,1179847,305845
15,PODLASKIE,2002,1207704,590589,617115,59575,30499,29076,75089,38572,36517,93545,48017,45528,108531,55643,52888,95435,49393,46042,86747,44345,42402,79206,40379,38827,80755,41167,39588,90739,46039,44700,89767,45228,44539,75778,36727,39051,52274,24249,28025,51242,23239,28003,51060,22401,28659,117961,44691,73270,50793,21094,29699,36218,13410,22808,17906,6112,11794,13044,4075,8969,336740,673940,197024
16,MAZOWIECKIE,2002,5128623,2463736,2664887,245028,125595,119433,283746,145325,138421,337168,172697,164471,400812,204989,195823,419114,213662,205452,405812,204028,201784,340080,172107,167973,314395,158785,155610,366222,182225,183997,429817,209588,220229,378789,180968,197821,260550,119692,140858,216796,95041,121755,223908,94951,128957,506386,184083,322303,215169,87073,128096,155390,56600,98790,81479,26224,55255,54348,14186,40162,1266754,3009820,852049
17,MAŁOPOLSKIE,2003,3252949,1578790,1674159,168880,86321,82559,194244,99311,94933,235377,120677,114700,266468,136360,130108,286833,144933,141900,260242,131155,129087,225844,114150,111694,211086,107613,103473,224363,112967,111396,241056,119773,121283,218614,105783,112831,167440,78700,88740,129248,58827,70421,135738,58821,76917,287516,103399,184117,122622,49693,72929,87256,31218,56038,50520,15621,34899,27118,6867,20251,864969,1894305,493675
18,ŚLĄSKIE,2003,4714982,2280441,2434541,202533,103745,98788,236592,121219,115373,300075,153647,146428,370903,189145,181758,399421,200999,198422,368083,185864,182219,316982,159993,156989,307826,154951,152875,353799,176584,177215,403303,197905,205398,372782,180038,192744,261671,124202,137469,230971,106733,124238,205600,91216,114384,384441,134200,250241,169986,69576,100410,113666,38193,75473,64766,18029,46737,36023,8402,27621,1110103,2890600,714279
19,LUBUSKIE,2003,1008786,489692,519094,48562,24897,23665,57769,29563,28206,71102,36223,34879,86910,44130,42780,90311,45873,44438,81086,41313,39773,66525,33858,32667,60500,30528,29972,72130,35893,36237,87848,43420,44428,80916,39508,41408,54094,26199,27895,35735,15796,19939,37014,15292,21722,78284,27199,51085,33532,13129,20403,24851,8023,16828,13597,4341,9256,6304,1706,4598,264343,609206,135237
20,WIELKOPOLSKIE,2003,3359932,1630340,1729592,170901,87955,82946,195214,100228,94986,241288,123421,117867,281949,143989,137960,299697,152462,147235,274730,138784,135946,233684,118491,115193,208450,104522,103928,232755,115597,117158,268112,131821,136291,250174,120535,129639,187853,88852,99001,122124,55299,66825,124036,53225,70811,268965,95159,173806,109747,44004,65743,81532,28603,52929,49678,15421,34257,28008,7131,20877,889352,2010754,459826
21,ZACHODNIOPOMORSKIE,2003,1696073,825682,870391,80545,41532,39013,94963,48504,46459,115336,58952,56384,138628,71049,67579,149268,76390,72878,134968,68576,66392,111472,56568,54904,101303,51220,50083,121797,60784,61013,150544,74198,76346,141852,69342,72510,92939,45267,47672,62782,28683,34099,65567,27310,38257,134109,47307,86802,58588,23052,35536,43309,14513,28796,22151,7006,15145,10061,2736,7325,429472,1032826,233775
22,DOLNOŚLĄSKIE,2003,2898313,1392344,1505969,124902,64092,60810,148669,76068,72601,182948,93533,89415,227638,116194,111444,257808,130823,126985,233163,118406,114757,189916,96392,93524,169434,85601,83833,205294,101661,103633,255867,125452,130415,247016,119185,127831,162356,77223,85133,111275,48731,62544,120121,49107,71014,261906,89876,172030,110771,42224,68547,86259,27909,58350,45555,14528,31027,19321,5215,14106,684157,1769585,444571
23,OPOLSKIE,2003,1055667,511857,543810,45198,23370,21828,55858,28365,27493,71790,36717,35073,88227,45107,43120,88161,43846,44315,80874,40603,40271,73059,36613,36446,73626,37512,36114,81627,41688,39939,84227,42269,41958,77651,37862,39789,52257,25094,27163,47006,21548,25458,48882,21232,27650,87224,30031,57193,39533,16030,23503,26170,8298,17872,14417,4062,10355,7104,1641,5463,261073,633030,161564
24,KUJAWSKO-POMORSKIE,2003,2068142,999307,1068835,102596,52763,49833,120583,61735,58848,147294,75063,72231,171902,88158,83744,178718,90235,88483,161995,82279,79716,139780,70160,69620,128420,64111,64309,146341,72401,73940,170572,83747,86825,157312,75325,81987,111938,52457,59481,81654,36824,44830,79747,34156,45591,169290,59893,109397,71379,28867,42512,51011,17706,33305,29725,9040,20685,17175,4280,12895,542375,1231900,293867
25,POMORSKIE,2003,2188918,1065456,1123462,114504,58513,55991,128429,65848,62581,155748,80155,75593,182290,92751,89539,189882,95992,93890,178308,89615,88693,151982,76889,75093,137054,69373,67681,152708,76476,76232,177971,87164,90807,167922,81475,86447,113748,54297,59451,86044,39717,46327,84482,36866,47616,167846,60325,107521,71827,29830,41997,51030,17703,33327,28802,8646,20156,16187,4146,12041,580971,1309292,298655
26,WARMIŃSKO-MAZURSKIE,2003,1428885,697947,730938,74099,38076,36023,87074,44397,42677,109242,55976,53266,128307,65489,62818,126543,64760,61783,108888,55958,52930,93503,47602,45901,90939,45922,45017,106942,53655,53287,119043,59295,59748,105085,51532,53553,67370,32246,35124,51431,23173,28258,52870,22272,30598,107549,37594,69955,46942,18322,28620,33749,11238,22511,17888,5527,12361,8970,2507,6463,398722,841486,188677
27,ŁÓDZKIE,2003,2597094,1238727,1358367,111985,57719,54266,132235,67776,64459,163508,83621,79887,191381,97907,93474,209786,106640,103146,198356,100946,97410,170462,86550,83912,155740,78185,77555,179763,89158,90605,219989,107857,112132,208768,99537,109231,161518,74713,86805,111084,49002,62082,113253,46997,66256,269266,92119,177147,108354,41227,67127,84759,28613,56146,49530,15312,34218,26623,6967,19656,599109,1553384,444601
28,ŚWIĘTOKRZYSKIE,2003,1291598,630701,660897,59359,30506,28853,72416,36889,35527,90814,46355,44459,105734,54035,51699,104935,54318,50617,95445,49846,45599,81993,42181,39812,76818,39417,37401,89992,45592,44400,104826,53084,51742,97343,48129,49214,71755,34586,37169,52161,23639,28522,56629,24282,32347,131378,47842,83536,53100,21558,31542,41233,14924,26309,23671,7632,16039,13374,3728,9646,328323,746746,216529
29,LUBELSKIE,2003,2191172,1064525,1126647,107981,55455,52526,127896,65246,62650,160256,82193,78063,187243,95894,91349,184641,95348,89293,161665,83591,78074,141730,72463,69267,134160,68379,65781,147714,74692,73022,169584,84548,85036,155484,75519,79965,115675,53773,61902,89032,39819,49213,90794,39406,51388,217317,78199,139118,87957,35293,52664,68545,24546,43999,39522,12483,27039,21293,5877,15416,583376,1250472,357324
30,PODKARPACKIE,2003,2097248,1026106,1071142,110010,56535,53475,132184,67731,64453,166493,84933,81560,187469,95803,91666,177774,90847,86927,162521,83040,79481,142520,72762,69758,135543,68915,66628,147693,75287,72406,153676,76906,76770,138272,67945,70327,101053,47843,53210,78644,35813,42831,83890,36336,47554,179506,65410,114096,75358,30801,44557,56008,20319,35689,32315,10178,22137,15825,4112,11713,596156,1194865,306227
